'	exclamation	lex112884.1_ἒ
καταστοχάσασθαι	verb	_καταστοχάζομαι
καταστρέφει	verb	_καταστρέφω
καταστρεψάμενος	verb	_καταστρέφω
καταστρέψαι	verb	_καταστρέφω
καταστρώματα	noun	_κατάστρωμα
καταστάσεως	noun	_κατάστασις
καταστῆσαι	verb	_καθίστημι
κατασυρεὶς	verb	_κατασύρω
κατασχεῖν	verb	_κατασχάω
κατασχεῖν	verb	_κατέχω
κατασχομένη	verb	_κατέχω
κατασχόντος	verb	_κατέχω
κατασχὼν	verb	_κατέχω
κατασχῶν	verb	_κατασχάω
κατασχῶν	verb	_κατασχάζω
κατασύρειν	verb	_κατασύρω
κατατεινόμενα	verb	_κατατείνω
κατατιθεμένη	verb	_κατατίθημι
κατατρέχει	verb	_κατατρέχω
κατατρύχεσθαι	verb	_κατατρύχω
κατατρύχω	verb	_κατατρύχω
καταφέρηται	verb	_καταφέρω
καταφαίνεται	verb	_καταφαίνω
καταφερομένων	verb	_καταφέρω
καταφεύγειν	verb	_καταφεύγω
καταφλεχθεὶς	verb	_καταφλέγω
καταφορώτεραι	adjective	_κατάφορος
καταφορὰν	noun	_καταφορά
καταφρονήσεως	noun	_καταφρόνησις
καταφρονεῖν	verb	_καταφρονέω
καταφρονηθέντι	verb	_καταφρονέω
καταφρονούσας	verb	_καταφρονέω
καταφρονοῦσι	verb	_καταφρονέω
καταφρόνησιν	noun	_καταφρόνησις
καταφρόνησον	verb	_καταφρονέω
καταφυτεύεσθαι	verb	_καταφυτεύω
καταφέρεσθαι	verb	_καταφέρω
καταχθονίοις	adjective	_καταχθόνιος
καταχρηστικῶς	adjective	_καταχρηστικός
καταχρῆται	verb	_καταχράομαι
καταχρῆται	verb	_καταχράω
καταχῦναι	verb	_κατά-χύνω
καταῖσαν	verb	_καθίζω
καταῖτυξ	noun	_καταῖτυξ
κατεάγη	verb	_κατάγνυμι
κατεάγη	verb	_κατεάσσω
κατείβεται	verb	_κατείβω
κατείληφεν	verb	_καταλαμβάνω
κατεβράβευεν	verb	_καταβραβεύω
κατεγνωσμένης	verb	_καταγιγνώσκω
κατεδέξαντο	verb	_καταδείκνυμι
κατεδέξαντο	verb	_καταδέχομαι
κατεδεξάμην	verb	_καταδείκνυμι
κατεδεξάμην	verb	_καταδέχομαι
κατεδηδώς	verb	_κατεσθίω
κατεδηδώς	verb	_κατέδω
κατειθισμένων	verb	_κατά-ἐθίζω
κατειθισμένην	verb	_κατά-ἐθίζω
κατειλῆφθαι	verb	_καταλαμβάνω
κατειργάσω	verb	_κατεργάζομαι
κατεκερμάτισεν	verb	_κατακερματίζω
κατελέγετο	verb	_καταλέγω
κατελεήσας	verb	_κατελεέω
κατελείπομεν	verb	_καταλιμπάνω
κατελείφθη	verb	_καταλιμπάνω
κατελεπτολόγησεν	verb	_καταλεπτολογέω
κατεληλύθει	verb	_κατέρχομαι
κατελθοῦσα	verb	_κατέρχομαι
κατελθέμεν	verb	_κατέρχομαι
κατελθὼν	verb	_κατέρχομαι
κατενέχθη	verb	_καταφέρω
κατενήνεκται	verb	_καταφέρω
κατενεχθῆναι	verb	_καταφέρω
κατενῶπα	adverb	_κατένωπα
κατεπίστευσεν	verb	_καταπιστεύω
κατεπείγει	verb	_κατεπείγω
κατεπείγοντος	verb	_κατεπείγω
κατεπειγόμενος	verb	_κατεπείγω
κατεπεῖγον	verb	_κατεπείγω
κατεπλάγη	verb	_καταπλήσσω
κατεπλάγη	verb	_καταπλάσσω
κατεπόθη	verb	_καταπίνω
κατεπύθετο	verb	_καταπύθω
κατερίφθη	verb	_καταρρίπτω
κατεργάζεται	verb	_κατεργάζομαι
κατεργάσομαι	verb	_κατεργάζομαι
κατερρεῖτο	verb	_καταρρέω
κατερίφθη	verb	_καταρρίπτω
κατεσάπη	verb	_κατασήπω
κατεσθίουσιν	verb	_κατεσθίω
κατεσθίων	verb	_κατεσθίω
κατεσθιόμενοι	verb	_κατεσθίω
κατεσκευάζοντο	verb	_κατασκευάζω
κατεσκευασμένα	verb	_κατασκευάζω
κατεσκευασμένοι	verb	_κατασκευάζω
κατεσκευασμένον	verb	_κατασκευάζω
κατεσκευασμένω	verb	_κατασκευάζω
κατεσκεύαζον	verb	_κατασκευάζω
κατεσκεύασε	verb	_κατασκευάζω
κατεσκεύασεν	verb	_κατασκευάζω
κατεσκεύασται	verb	_κατασκευάζω
κατεσκεύασται	verb	_κατασκευάζω
κατεσμίκρυνε	verb	_κατά,εἰσ-μικρύνω
κατεσμίκρυνε	verb	_κατά-σμικρύνω
κατεσπαραγμέναι	verb	_κατασπαράσσω
κατεστήσαντο	verb	_καθίστημι
κατεστύγνασεν	verb	_κατά-στυγνάζω
κατεσύρατο	verb	_κατασύρω
κατεταρτάρωσεν	verb	_κατά-ταρταρόω
κατευθυντηρία	noun	_κατευθυντηρία
κατευθύνουσα	verb	_κατευθύνω
κατεφάνη	verb	_καταφαίνω
κατεφλέχθη	verb	_καταφλέγω
κατεχομένων	verb	_κατέχω
κατεχομένους	verb	_κατέχω
κατεχόμεναι	verb	_κατέχω
κατεχόμενος	verb	_κατέχω
κατεχόντων	verb	_κατέχω
κατεχόμενοι	verb	_κατέχω
κατεάχθησαν	verb	_κατεάσσω
κατείπασα	verb	_κατεῖπον
κατείρηκεν	verb	_κατερῶ
κατείχοντο	verb	_κατέχω
κατεῖχε	verb	_κατέχω
κατεῖχεν	verb	_κατέχω
κατεῖχον	verb	_κατέχω
κατηγμένους	verb	_κατάγω
κατηγορήσασα	verb	_κατηγορέω
κατηγορήσατο	verb	_κατηγορέω
κατηγορίας	noun	_κατηγορία
κατηγορίᾳ	noun	_κατηγορία
κατηγορεῖ	verb	_κατηγορέω
κατηγοροῦσιν	verb	_κατηγορέω
κατηγωνίσατο	verb	_καταγωνίζομαι
κατηθισμένῃ	verb	_κατά-ἐθίζω
κατηλέησε	verb	_κατελεέω
κατηνέχθη	verb	_καταφέρω
κατηρίθμησεν	verb	_καταριθμέω
κατηστέρισεν	verb	_κατά-ἀστερίζω
κατηστέριστο	verb	_κατά-ἀστερίζω
κατηστερίσθαι	verb	_κατά-ἀστερίζω
κατηστερισμένας	verb	_κατά-ἀστερίζω
κατηστερισμένων	verb	_κατά-ἀστερίζω
κατηστερισμένον	verb	_κατά-ἀστερίζω
κατηφείην	noun	_κατήφεια
κατοικίζει	verb	_κατοικίζω
κατοικούντων	verb	_κατοικέω
κατοικοῦμεν	verb	_κατοικέω
κατοικοῦντες	verb	_κατοικέω
κατοικοῦσιν	verb	_κατοικέω
κατοικτίζεται	verb	_κατοικτίζω
κατοικτειρήσασαν	verb	_κατά-οἰκτειρέω
κατοιχομένοις	verb	_κατοίχομαι
κατομβρεῖται	verb	_κατομβρέομαι
κατορθοῖ	verb	_κατορθόω
κατορθοῦμεν	verb	_κατορθόω
κατορθοῦν	verb	_κατορθόω
κατορθοῦσθαι	verb	_κατορθόω
κατορθοῦται	verb	_κατορθόω
κατορθωμάτων	noun	_κατόρθωμα
κατορθῶσαι	verb	_κατορθόω
κατωτέρου	adjective	_κατώτερος
κατωτέρου	adjective	_κάτος
κατωτάτην	adjective	_κάτος
κατωτάτην	adjective	_κατώτατος
κατωφερέσι	adjective	_κατωφερής
κατωφερῆ	adjective	_κατωφερής
κατόπιν	adverb	_κατόπιν
κατόρθωμα	noun	_κατόρθωμα
κατώτατον	adjective	_κατώτατος
κατώτατον	adjective	_κάτος
κατώτατος	adjective	_κατώτατος
κατώτατος	adjective	_κάτος
κατὰ	preposition	_κατά
κατά	preposition	_κατά
κατάγηται	verb	_κατάγω
κατάγηται	verb	_καθηγέομαι
κατάλειψις	noun	_κατάλειψις
κατάσκοποι	noun	_κατάσκοπος
