'	exclamation	lex112884.1_ἒ
πρώτῃ	adjective	_πρῶτος
πρώτῃ	adjective	_πρότερος
πρώτῃσι	adjective	_πρότερος
πρώτῃσι	adjective	_πρῶτος
πρώτῳ	adjective	_πρότερος
πρώτῳ	adjective	_πρῶτος
πράγματος	noun	_πρᾶγμα
πράξεις	verb	_πράσσω
πράξεις	noun	_πρᾶξις
πράξις	noun	_πρᾶξις
πράξον	verb	_πράσσω
πράοις	adjective	_πρᾶος
πράττομεν	verb	_πράσσω
πρέπει	verb	_πρέπω
πρέπον	noun	_πρέπων
πρέπον	verb	_πρέπω
πρέποντος	verb	_πρέπω
πρέποντος	noun	_πρέπων
πρέπω	verb	_πρέπω
πρέπων	noun	_πρέπων
πρέπων	verb	_πρέπω
πρέσβεις	noun	_πρέσβις
πρέσβεις	noun	_πρέσσβυς
πρέσβιν	noun	_πρέσβις
πρέσβις	noun	_πρέσβις
πρέσβιστον	adjective	_πρέσβιστος
πρὶν	adverb	_πρίν
πρίασθαι	verb	_πρίαμαι
πρίν	adverb	_πρίν
πρὸ	preposition	_πρό
πρὸς	preposition	_πρός
πρό	preposition	_πρό
πρόβατα	noun	_πρόβατον
πρόβουλοι	adjective	_πρόβουλος
πρόδηλοι	adjective	_πρόδηλος
πρόδηλον	adjective	_πρόδηλος
πρόθεσιν	noun	_πρόθεσις
πρόθεσις	noun	_πρόθεσις
πρόκειται	verb	_πρόκειμαι
πρόμαχον	adjective	_πρόμαχος
πρόμαχος	adjective	_πρόμαχος
πρόνοιαν	noun	_πρόνοια
πρόξαι	verb	_πρόσσω
πρόπεψον	verb	_πρό-πέσσω
πρός	preposition	_πρός
πρόσθε	adverb	_πρόσθεν
πρόσθεν	adverb	_πρόσθεν
πρόσκειται	verb	_πρόσκειμαι
πρόστασσε	verb	_προσστάζω
πρόστασσε	verb	_προστάσσω
πρόσφερε	verb	_προσφέρω
πρόσωπα	noun	_πρόσωπον
πρόσωπον	noun	_πρόσωπον
πρόσωπόν	noun	_πρόσωπον
πρότερα	adjective	_πρότερος
πρότεροι	adjective	_πρότερος
πρότερον	adjective	_πρότερος
πρότερος	adjective	_πρότερος
πρότερόν	adjective	_πρότερος
πρόφρων	adjective	_πρόφρων
πρύλις	noun	_πρύλις
πρύμναν	noun	_πρύμνα
πρύμνης	noun	_πρύμνα
πρώην	adverb	_πρώην
πρώταις	adjective	_πρότερος
πρώταις	adjective	_πρῶτος
πρώτη	adjective	_πρότερος
πρώτη	adjective	_πρῶτος
πρώτην	adjective	_πρότερος
πρώτην	adjective	_πρῶτος
πρώτης	adjective	_πρῶτος
πρώτης	adjective	_πρότερος
πρώτοισι	adjective	_πρῶτος
πρώτοισι	adjective	_πρότερος
πρώτου	adjective	_πρότερος
πρώτου	adjective	_πρῶτος
πρώτους	adjective	_πρῶτος
πρώτους	adjective	_πρότερος
πρώτων	adjective	_πρῶτος
πρώτων	adjective	_πρότερος
πρώτῃ	adjective	_πρῶτος
πρώτῃ	adjective	_πρότερος
πρώτῳ	adjective	_πρῶτος
πρώτῳ	adjective	_πρότερος
πρώϊον	adjective	_πρώιος
πρᾶα	adjective	_πρᾶος
πρᾶγμα	noun	_πρᾶγμα
πρᾶξιν	noun	_πρᾶξις
πρᾶξις	noun	_πρᾶξις
πρᾶξον	verb	_πράσσω
πρᾶον	adjective	_πρᾶος
πρᾶος	adjective	_πρᾶος
πρῆσαι	verb	_πίμπρημι
πρῆσαι	verb	_πρήθω
πρῆσεν	verb	_πίμπρημι
πρῆσεν	verb	_πρήθω
πρῴην	adjective	_πρώιος
πρῶνες	noun	_πρών
πρῶτα	adjective	_πρότερος
πρῶτα	adjective	_πρῶτος
πρῶτοι	adjective	_πρότερος
πρῶτοι	adjective	_πρῶτος
πρῶτον	adjective	_πρῶτος
πρῶτον	adjective	_πρότερος
πρῶτος	adjective	_πρότερος
πρῶτος	adjective	_πρῶτος
πτήσει	noun	_πτῆσις
πτήσει	verb	_πέτομαι
πτήσεις	noun	_πτῆσις
πτήσεως	noun	_πτῆσις
πταίει	verb	_πταίω
πταίουσι	verb	_πταίω
πταίω	verb	_πταίω
πταίσματι	noun	_πταῖσμα
πτερωτὰ	adjective	_πτερωτός
πτερωτὸς	adjective	_πτερωτός
πτερόεντα	adjective	_πτερόεις
πτερύγεσσι	noun	_πτέρυξ
πτερὰ	noun	_πτερόν
πτερὸν	noun	_πτερόν
πτηνοὶ	adjective	_πτηνός
πτηνὰ	adjective	_πτηνός
πτηνὸς	adjective	_πτηνός
πτηνῶν	adjective	_πτηνός
πτοεῖσθαι	verb	_πτοέω
πτολέμοιο	noun	_πόλεμος
πτολίπορθον	adjective	_πτολίπορθος
πτολίπορθος	adjective	_πτολίπορθος
πτολεμίζων	verb	_πολεμίζω
πτολεμίζων	verb	_πτολεμίζω
πτολέμοιο	noun	_πόλεμος
πτοοῦσα	verb	_πτοέω
πτωτικοῦ	adjective	_πτωτικός
πτωτικὸν	adjective	_πτωτικός
πτωχὸς	adjective	_πτωχός
πτόλεμον	noun	_πόλεμος
πτύχας	noun	_πτύξ
πτύχες	noun	_πτύξ
πτώματα	noun	_πτῶμα
πτώσεις	noun	_πτῶσις
πτώσεων	noun	_πτῶσις
πτώσεως	noun	_πτῶσις
πτύελον	noun	_πτύελον
πτύελον	noun	_πτύελος
πτώσει	noun	_πτῶσις
πτώσεις	noun	_πτῶσις
πτώσεως	noun	_πτῶσις
πτώσσεις	verb	_πτώσσω
πτώσσοντα	verb	_πτώσσω
πτῆξε	verb	_πτήσσω
πτῆσις	noun	_πτῆσις
πτῆται	verb	_πέτομαι
πτῆται	verb	_πτάζω
πτῶ	verb	_πέτομαι
πτῶ	verb	_πτάζω
πτῶσιν	noun	_πτῶσις
πτῶσιν	verb	_πτάζω
πτῶσις	noun	_πτῶσις
πυθέσθαι	verb	_πυνθάνομαι
πυθμένας	noun	_πυθμήν
πυθμένες	noun	_πυθμήν
πυθοίατο	verb	_πύθω
πυθοίατο	verb	_πυνθάνομαι
πυθόμενον	verb	_πύθω
πυθόμενον	verb	_πυνθάνομαι
πυθόμενος	verb	_πύθω
πυθόμενος	verb	_πυνθάνομαι
πυθόχρηστον	adjective	_Πυθόχρηστος
πυθέσθαι	verb	_πυνθάνομαι
πυθόμενος	verb	_πυνθάνομαι
πυθόμενος	verb	_πύθω
πυθόμην	verb	_πυνθάνομαι
πυθόμην	verb	_πύθω
πυκάσασα	verb	_πυκάζω
πυκιναῖς	adjective	_πυκινός
πυκιναῖς	adjective	_πυκνός
πυκινόν	adjective	_πυκνός
πυκινόν	adjective	_πυκινός
πυκναὶ	adjective	_πυκνός
πυκναί	adjective	_πυκνός
πυκνωθῆναι	verb	_πυκνόω
πυκνότερον	adjective	_πυκνός
πυκνότερον	adjective	_πυκνος
πυκνὰ	adjective	_πυκνός
πυκνά	adjective	_πυκνός
πυκνάς	adjective	_πυκνός
πυκνὴν	adjective	_πυκνός
πυκνὸν	adjective	_πυκνός
πυκνὸς	noun	_πνύξ
πυκνὸς	adjective	_πυκνός
πυκνῶς	adjective	_πυκνός
πυκνῶς	verb	_πυκνόω
πυκταλεύω	verb	_πυκταλεύω
πυκτεύω	verb	_πυκτεύω
πυλάων	noun	_πύλη
πυλῶν	verb	_πυλόω
πυλῶν	noun	_πύλη
πυμάτης	adjective	_πύματος
πυνθάνεσθαι	verb	_πυνθάνομαι
πυνθάνεται	verb	_πυνθάνομαι
πυνθάνεσθαι	verb	_πυνθάνομαι
πυνθάνεται	verb	_πυνθάνομαι
πυρά	noun	_πυρά
πυρά	noun	_πυρή
πυρήν	noun	_πυρή
πυρήν	noun	_πυρήν
πυραί	noun	_πυρή
πυραὶ	noun	_πυρή
πυραί	noun	_πυρή
πυργηδόν	adverb	_πυργηδόν
πυρείων	noun	_πυρεῖον
πυριρραγῆ	adjective	_πυριρραγής
πυρκαϊὰς	adjective	_πυρκαιός
πυρκαϊὰς	noun	_πυρκαιά
πυρκαϊῆς	adjective	_πυρκαιός
πυρκαϊῆς	noun	_πυρκαιά
πυρκαϊῇ	adjective	_πυρκαιός
πυρκαϊῇ	noun	_πυρκαιά
πυρογενής	adjective	_πυρογενής
πυρούς	noun	_πυρός
πυρρίχιον	noun	_πυρρίχιος
πυρράν	adjective	_πυρρός
πυρρός	adjective	_πυρρός
πυρός	noun	_πῦρ
πυρός	noun	_πυρός
πυρώδη	adjective	_πυρώδης
πυρώδης	adjective	_πυρώδης
πυρώδους	adjective	_πυρώδης
πυρώσεως	noun	_πύρωσις
πυρὰν	noun	_πυρή
πυρὰς	noun	_πυρή
πυρά	noun	_πυρή
πυρά	noun	_πυρά
πυρὶ	noun	_πῦρ
πυρὸς	noun	_πῦρ
πυρὸς	noun	_πυρός
πυρᾷ	verb	_πυράζω
πυρᾷ	noun	_πυρή
πυρῆς	noun	_πυρή
πυρῆς	verb	_πυράζω
πυρῆς	noun	_πυρεύς
πυρῇ	verb	_πυράζω
πυρῇ	noun	_πυρεύς
πυρῇ	noun	_πυρή
πυρῶν	verb	_πυράζω
πυρῶν	verb	_πυρόω
πυρῶν	noun	_πυρή
πυρῶν	noun	_πυρά
πυρῶν	noun	_πυρός
πω	particle	_πω
πωλεῖν	verb	_πωλέω
πωλεῖταί	verb	_πωλέω
πωλεῖταί	verb	_πωλέομαι
πως	particle	_πως
πόδα	noun	_πούς
πόδας	noun	_πούς
πόδες	noun	_πούς
πόθεν	verb	_πίνω
πόθεν	particle	_ποθεν
πόθεν	adverb	_πόθεν
πόθι	adverb	_ποθι
πόθι	adverb	_πόθι
πόκος	noun	_πόκος
πόλει	verb	_πολέω
πόλει	noun	_πόλις
πόλεις	noun	_πόλις
πόλεις	verb	_πολέω
πόλεις	adjective	_πολύς
πόλεις	noun	_πόόλις
πόλεμον	noun	_πόλεμος
πόλεμος	noun	_πόλεμος
πόλεμός	noun	_πόλεμος
πόλεσι	noun	_πόλις
πόλεσι	adjective	_πολύς
πόλεων	noun	_πόλις
πόλεων	adjective	_πολύς
πόλεων	noun	_πόόλις
πόλεως	noun	_πόλις
πόλιν	noun	_πόλις
πόλιος	noun	_πόλις
πόλις	noun	_πόλις
πόλις	noun	_πόόλις
πόλος	noun	_πόλος
πόλου	noun	_πόλος
πόνον	noun	_πόνος
πόνος	noun	_πόνος
πόντον	noun	_πόντος
πόντος	noun	_πόντος
πόντου	verb	_ποντόω
πόντου	noun	_πόντος
πόντου	verb	_ποντίζω
πόντῳ	noun	_πόντος
πόνων	noun	_πόνος
πόποι	exclamation	_πόποι
πόρε	noun	_πόρος
πόρε	verb	_πόρω
πόρεν	verb	_πόρω
πόρθησιν	noun	_πόρθησις
πόριες	noun	_πόρις
πόρις	noun	_πόρις
πόρον	noun	_πόρος
πόρον	verb	_πόρω
πόρους	noun	_πόρος
πόρους	verb	_πορόω
πόρπαξιν	noun	_πόρπαξ
πόρπη	noun	_πόρπη
πόρπη	verb	_πορπάω
πόρρω	adverb	_πρόσω
πόρρωθεν	adverb	_πρόσωθεν
πόρτακι	noun	_πόρταξ
πόρταξ	noun	_πόρταξ
πόρτις	noun	_πόρτις
πόσεως	noun	_πόσις1
πόσεως	noun	_πόσις2
πόσις	noun	_πόσις2
πόσις	noun	_πόσις1
πότ'	noun	_πότις
πότ'	noun	_πότε
πότ'	particle	_ποτέ
πότ'	noun	_πότης
πότ'	noun	_πότος
πότερον	adjective	_πότερος
πότης	noun	_πότης
πότις	noun	_πότης
πότις	noun	_πότις
πότμον	noun	_πότμος
πότνια	noun	_πότνια
πόᾳ	noun	_πόα
πύθεσθαι	verb	_πύθω
πύθοιτο	verb	_πύθω
πύθοιτο	verb	_πυνθάνομαι
πύκτης	noun	_πύκτης
πύλαι	noun	_πύλη
πύλας	noun	_πύλη
πύλη	noun	_πύλη
πύλην	noun	_πύλη
πύλης	noun	_πύλη
πύλῃσι	noun	_πύλη
πύργος	noun	_πύργος
πύργου	verb	_πυργόω
πύργου	noun	_πύργος
πύργους	noun	_πύργος
πύργους	verb	_πυργόω
πύργων	noun	_πύργος
πύργων	verb	_πυργόω
πύρωσιν	noun	_πύρωσις
πύσει	verb	_πύθω
πώ	particle	_πω
πώλοιο	noun	_πῶλος
πώποτε	adverb	_πώποτε
πώς	adverb	_πῶς2
πώς	particle	_πως
πὰν	adjective	_πᾶς
πὰρ	preposition	_παρά
πὰρὰ	preposition	_παρά
πὰρὰ	noun	_πῆρος
πάθη	noun	_πάθος
πάθη	noun	_πάθη
πάθος	noun	_πάθος
πάλαι	adverb	_πάλαι
πάλαι	noun	_πάλα
πάλαι	noun	_πάλη
πάλαι	verb	_πάλλω
πάλη	verb	_παλέω
πάλη	noun	_πάλη
πάλη	noun	_πάλα
πάλιν	adverb	_πάλιν
πάλλον	verb	_πάλλω
πάλλοντες	verb	_πάλλω
πάλλων	verb	_πάλλω
πάματα	noun	_πᾶμα
πάμπαν	adverb	_πάμπαν
πάντα	adjective	_πᾶς
πάντας	adjective	_πᾶς
πάντες	adjective	_πᾶς
πάντοτε	adverb	_πάντοτε
πάντων	adjective	_πᾶς
πάντως	adverb	_πάντως
πάνυ	adverb	_πάνυ
πάπα	verb	_παπάω
πάρεισι	verb	_πάρειμι1
πάρεισι	verb	_πάρειμι2
πάρεισιν	verb	_πάρειμι2
πάρεισιν	verb	_πάρειμι1
πάρεστι	verb	_πάρειμι1
πάρέξ	preposition	_παρέξ
πάσαν	adjective	_πᾶς
πάσαν	verb	_πάσσω
πάσας	adjective	_πᾶς
πάσας	verb	_πάσσω
πάσασθαι	verb	_πατέομαι
πάσασθαι	verb	_πάομαι
πάσασθαι	verb	_πάσσω
πάσχει	verb	_πάσχω
πάσχειν	verb	_πάσχω
πάσχων	verb	_πάσχω
πάτερ	noun	_πατήρ
πάτος	noun	_πάτος
πάϊς	noun	_παῖς
πὲρι	preposition	_περί
πέδησε	verb	_πεδάω
πέλαγος	noun	_πέλαγος
πέλας	adverb	_πέλας
πέλας	verb	_πελάω
πέλασσε	verb	_πελάζω
πέλασσεν	verb	_πελάζω
πέλει	verb	_πελάω
πέλει	verb	_πέλω
πέλεκυς	noun	_πέλεκυς
πέλεν	verb	_πέλω
πέμπει	verb	_πέμπω
πέμπουσι	verb	_πέμπω
πέμψαι	verb	_πέμπω
πένεσθαι	verb	_πένομαι
πέντε	numeral	_πέντε
πέπαυται	verb	_παύω
πέπληγα	verb	_πλήσσω
πέπλον	adjective	_πεπλος
πέπλον	noun	_πέπλος
πέπλος	adjective	_πεπλος
πέπλος	noun	_πέπλος
πέπλου	adjective	_πεπλος
πέπλου	noun	_πέπλος
πέπλους	adjective	_πεπλος
πέπλους	noun	_πέπλος
πέπλω	adjective	_πεπλος
πέπλω	noun	_πέπλος
πέπον	adjective	_πέπων
πέπτωκε	verb	_πίπτω
πέπτωκεν	verb	_πίπτω
πέρ	particle	_πέρ
πέσοι	verb	_πίπτω
πέσον	verb	_πίπτω
πέτρα	noun	_πέτρα
πέτραν	noun	_πέτρα
πέτρη	noun	_πέτρα
πέφραδ'	verb	_φράζω
πέφυκε	verb	_φύω
πέφυκε	verb	_φύζω
πέφυκεν	verb	_φύω
πέφυκεν	verb	_φύζω
πήγνυσι	verb	_πήγνυμι
πήγνυσι	noun	_πήγνυσις
πήχεας	noun	_πῆχυς
πίμπρασθαι	verb	_πίμπρημι
πίνωσιν	verb	_πίνω
πίπτει	verb	_πίπτω
πίπτειν	verb	_πίπτω
πίσσα	noun	_πίσσα
πίσσης	noun	_πίσσα
πίσω	verb	_πιπίσκω
πίσω	noun	_πίσον
πίσω	noun	_πίσος
πίφαυσκε	verb	_πιφαύσκω
πὸλει	noun	_πόλις
πὸλει	verb	_πολέω
πὸλεμον	noun	_πόλεμος
πὸλλ'	adjective	_πολύς
πόδας	noun	_πούς
πόδες	noun	_πούς
πόδεσσιν	noun	_πούς
πόθεν	adverb	_πόθεν
πόθεν	particle	_ποθεν
πόθεν	verb	_πίνω
πόθω	noun	_πόθος
πόλεας	adjective	_πολύς
πόλει	noun	_πόλις
πόλει	verb	_πολέω
πόλεις	adjective	_πολύς
πόλεις	verb	_πολέω
πόλεις	noun	_πόόλις
πόλεις	noun	_πόλις
πόλεμον	noun	_πόλεμος
πόλεμος	noun	_πόλεμος
πόλεσι	adjective	_πολύς
πόλεσι	noun	_πόλις
πόλεων	adjective	_πολύς
πόλεων	noun	_πόλις
πόλεων	noun	_πόόλις
πόλεως	noun	_πόλις
πόλιας	noun	_πόόλις
πόλιας	noun	_πόλις
πόλιν	noun	_πόλις
πόλιος	noun	_πόλις
πόλις	noun	_πόόλις
πόλις	noun	_πόλις
πόμ'	noun	_πόμα
πόμασιν	noun	_πόμα
πόνον	noun	_πόνος
πόνος	noun	_πόνος
πόντον	noun	_πόντος
πόντῳ	noun	_πόντος
πόρε	noun	_πόρος
πόρε	verb	_πόρω
πόρρω	adverb	_πρόσω
πόρρωθεν	adverb	_πρόσωθεν
πόσε	adverb	_πόσε
πόσε	adjective	_πόσος
πόσεϊ	noun	_πόσις1
πόσεϊ	noun	_πόσις2
πόσιν	noun	_πόσις1
πόσιν	noun	_πόσις2
πόσιος	noun	_πόσις2
πόσιος	noun	_πόσις1
πόσις	noun	_πόσις1
πόσις	noun	_πόσις2
πόσον	adjective	_πόσος
πότε	noun	_πότος
πότε	particle	_ποτέ
πότε	noun	_πότε
πότερον	adjective	_πότερος
πότιμα	adjective	_πότιμος
πότιμον	adjective	_πότιμος
πότμον	noun	_πότμος
πότος	noun	_πότος
πὺξ	adverb	_πύξ
πύθηαι	verb	_πυνθάνομαι
πύθηαι	verb	_πύθω
πύθοιτο	verb	_πύθω
πύθοιτο	verb	_πυνθάνομαι
πύκτην	noun	_πύκτης
πύλαι	noun	_πύλη
πύλας	noun	_πύλη
πύλη	noun	_πύλη
πύλην	noun	_πύλη
πύργοις	noun	_πύργος
πύργοισιν	noun	_πύργος
πύργος	noun	_πύργος
πύργους	verb	_πυργόω
πύργους	noun	_πύργος
πώγωνας	noun	_πώγων
πᾶν	adjective	_πᾶς
πᾶς	adjective	_πᾶς
πᾶσά	adjective	_πᾶς
πᾶσα	adjective	_πᾶς
πᾶσαι	verb	_πάομαι
πᾶσαι	adjective	_πᾶς
πᾶσαν	adjective	_πᾶς
πᾶσι	noun	_πᾶσις
πᾶσι	adjective	_πᾶς
πᾶσιν	noun	_πᾶσις
πᾶσιν	adjective	_πᾶς
πῆ	noun	_πῆ
πῆ	particle	_πη
πῆμα	noun	_πῆμα
πῆξαι	verb	_πήγνυμι
πῆξαι	verb	_πήσσω
πῆξε	verb	_πήσσω
πῆξε	verb	_πήγνυμι
πῆχυς	noun	_πῆχυς
πῇ	noun	_πῆ
πῇ	particle	_πη
πῖε	adjective	_πῖος
πῖθι	verb	_πίνω
πῖπτε	verb	_πίπτω
πῦρ	noun	_πῦρ
πῶ	particle	_πω
πῶ	adverb	_πῶ
πῶλον	noun	_πῶλος
πῶμ'	noun	_πῶμα2
πῶμ'	noun	_πῶμα1
πῶς	noun	_πῶς
πῶς	adverb	_πῶς2
πῶς	particle	_πως
πῶυ	noun	_πῶυ
πῶϋ	noun	_πῶυ
ς᾽	pronoun	_σύ
ς᾽	adjective	_σός
σ'	adjective	_σός
σ'	pronoun	_σύ
σάκεος	noun	_σάκος
σάκος	noun	_σάκκος
σάκος	noun	_σάκος
σάλπιγγα	noun	_σάλπιγξ
σάλπιγγας	noun	_σάλπιγξ
σάλπιγξ	noun	_σάλπιγξ
σάος	adjective	_σῶς
σάρκα	noun	_σάρξ
σάρκα	verb	_σαρκάω
σάρκας	verb	_σαρκάω
σάρκας	noun	_σάρξ
σάρκες	noun	_σάρξ
σάφα	adverb	_σάφα
σάω	adjective	_σῶς
σάω	verb	_σαόω
σάω	verb	_σώζω
σάωσε	verb	_σαόω
σάωσε	verb	_σώζω
σέ	adjective	_σός
σέ	pronoun	_σύ
σέα	noun	_σής
σέβοι	verb	_σέβω
σέβωσι	verb	_σέβω
σέθεν	pronoun	_σύ
σέλα	verb	_σελάω
σέλα	noun	_σέλας
σέλινον	noun	_σέλινον
σέλᾳ	noun	_σέλας
σέο	pronoun	_σύ
σέο	verb	_σέω
σέσηπε	verb	_σήπω
σήμαινε	verb	_σημαίνω
σήματα	noun	_σῆμα
σήματι	noun	_σῆμα
σήματος	noun	_σῆμα
σήπεσθαι	verb	_σήπω
σήπεται	verb	_σήπω
σίαλόν	noun	_σίαλον
σίαλόν	noun	_σίαλος
σίγιον	noun	_σίγιον
σίγιον	verb	_σιγάω
σίδηρα	noun	_σίδηρον
σίδηρον	noun	_σίδηρος
σίδηρον	noun	_σίδηρον
σίδηρος	noun	_σίδηρος
σίλλοι	noun	_σίλλος
σίνεσθαι	verb	_σίνομαι
σίτου	noun	_σῖτος
σίφλὸς	noun	_σίφλος
σαλευθὲν	verb	_σαλεύω
σανίδας	noun	_σανίς
σανίδων	noun	_σανίς
σανίδων	verb	_σανιδόω
σανιδώματα	noun	_σανίδωμα
σαπήῃ	verb	_σήπω
σαπῆναι	verb	_σήπω
σαρκί	noun	_σαρκίς
σαρκί	noun	_σάρξ
σαρκοφάγα	adjective	_σαρκοφάγος
σαρκοφάγων	adjective	_σαρκόφαγος
σαρκοφάγων	adjective	_σαρκοφάγος
σαυρωτὴν	adjective	_σαυρωτός
σαυρωτῆρας	noun	_σαυρωτήρ
σαφές	adjective	_σαφής
σαφέστερον	adjective	_σαφής
σαφέστερος	adjective	_σαφής
σαφήνεια	noun	_σαφήνεια
σαφής	adjective	_σαφής
σαφεστέραν	adjective	_σαφής
σαφηνίζει	verb	_σαφηνίζω
σαφηνίσῃ	verb	_σαφηνίζω
σαφηνείας	noun	_σαφήνεια
σαφηνείας	noun	_σαφήνεια
σαφοῦς	adjective	_σαφής
σαφὲς	adjective	_σαφής
σαφέσσι	adjective	_σαφής
σαφέστερον	adjective	_σαφής
σαφῶς	adjective	_σαφής
σαωθῆναι	verb	_σώζω
σαωθῆναι	verb	_σαόω
σαωσέμεν	verb	_σαόω
σαωσέμεν	verb	_σώζω
σαώσει	verb	_σαόω
σαώσει	verb	_σώζω
σαώσετον	verb	_σαόω
σαώσετον	verb	_σώζω
σαώσωμεν	verb	_σώζω
σαώσωμεν	verb	_σαόω
σαώσῃς	verb	_σαόω
σαώσῃς	verb	_σώζω
σαώτερος	adjective	_σάος
σαώτερος	adjective	_σῶς
σβέσιν	noun	_σβέσις
σβεννύμενον	verb	_σβέννυμι
σε	pronoun	_σύ
σείειν	verb	_σείω
σείετο	verb	_σείω
σεβόμενοι	verb	_σέβομαι
σειομένης	verb	_σείω
σειρὴν	noun	_σειρά
σειρᾶς	verb	_σειράω
σειρᾶς	noun	_σειρά
σελήνη	noun	_σελήνη
σεμνοὺς	adjective	_σεμνός
σεμνότερον	adjective	_σεμνός
σεμνύνων	verb	_σεμνύνω
σεμνὴν	adjective	_σεμνός
σεμνῶν	noun	_σεμνόν
σεμνῶν	verb	_σεμνόω
σεμνῶν	adjective	_σεμνός
σεο	pronoun	_σύ
σεπτή	adjective	_σεπτός
σεπτικὴ	adjective	_σεπτικός
σεπτικῶς	adjective	_σεπτικός
σεσημείωται	verb	_σημειόω
σεσημειωμένου	verb	_σημειόω
σεσημειωμένων	verb	_σημειόω
σεσημειωμένου	verb	_σημειόω
σεσημείωται	verb	_σημειόω
σεσιτευμένου	verb	_σιτεύω
σευ	pronoun	_σύ
σευόμενον	verb	_σεύω
σεύονται	verb	_σεύω
σεῖο	verb	_σέω
σεῖο	pronoun	_σύ
σεῖσαι	verb	_σείω
σεῦ	pronoun	_σύ
σεῦ	verb	_σέω
σηκοὺς	noun	_σηκός
σηκὸν	noun	_σηκός
σηκὸς	noun	_σηκός
σημαίνει	verb	_σημαίνω
σημαίνειν	verb	_σημαίνω
σημαίνεσθαι	verb	_σημαίνω
σημαίνεται	verb	_σημαίνω
σημαίνηται	verb	_σημαίνω
σημαίνοι	verb	_σημαίνω
σημαίνοντα	verb	_σημαίνω
σημαίνοντος	verb	_σημαίνω
σημαίνουσα	verb	_σημαίνω
σημαίνουσι	verb	_σημαίνω
σημαίνων	verb	_σημαίνω
σημαίνῃ	verb	_σημαίνω
σημαινέτω	verb	_σημαίνω
σημαινομένου	verb	_σημαίνω
σημαινομένων	verb	_σημαίνω
σημαινομένου	verb	_σημαίνω
σημαινομένῳ	verb	_σημαίνω
σημαινόμενα	verb	_σημαίνω
σημαινόμενον	verb	_σημαίνω
σημαινόμενόν	verb	_σημαίνω
σημαινόμενον	verb	_σημαίνω
σημαντικαί	adjective	_σημαντικός
σημαντικαὶ	adjective	_σημαντικός
σημαντικοῦ	adjective	_σημαντικός
σημαντικόν	adjective	_σημαντικός
σημαντικὴν	adjective	_σημαντικός
σημαντικὸν	adjective	_σημαντικός
σημαντικόν	adjective	_σημαντικός
σημαντικῇ	adjective	_σημαντικός
σημασία	noun	_σημασία
σημασίαν	noun	_σημασία
σημασίας	noun	_σημασία
σημασία	noun	_σημασία
σημασίαν	noun	_σημασία
σημαίνει	verb	_σημαίνω
σημαίνεσθαι	verb	_σημαίνω
σημαίνεται	verb	_σημαίνω
σημαίνηται	verb	_σημαίνω
σημαίνοντος	verb	_σημαίνω
σημαίνουσαι	verb	_σημαίνω
σημαίνων	verb	_σημαίνω
σημαῖνον	verb	_σημαίνω
σημείοις	noun	_σημεῖον
σημείων	noun	_σημεῖον
σημείων	verb	_σημειόω
σημειούμεθα	verb	_σημειόω
σημειοῦνται	verb	_σημειόω
σημειοῦνταί	verb	_σημειόω
σημειοῦσθαι	verb	_σημειόω
σημειοῦται	verb	_σημειόω
σημειωτέον	adjective	_σημειωτέος
σημειωτέον	adjective	_σημειωτέος
σημειώδης	adjective	_σημειώδης
σημειώσαιτο	verb	_σημειόω
σημειώσεως	noun	_σημείωσις
σημειῶδες	adjective	_σημειώδης
σημειῶσαι	verb	_σημειόω
σημεία	noun	_σημεία
σημείοις	noun	_σημεῖον
σημείωσαι	verb	_σημειόω
σημεῖα	noun	_σημεῖον
σημεῖον	noun	_σημεῖον
σημεῖόν	noun	_σημεῖον
σημάντορας	noun	_σημάντωρ
σημάντωρ	noun	_σημάντωρ
σημᾶναι	verb	_σημαίνω
σημῆναι	verb	_σημαίνω
σθένει	noun	_σθένος
σθένει	verb	_σθένω
σθένιος	noun	_σθένος
σθένιος	noun	_σθένιος
σθένον	verb	_σθένω
σθένος	noun	_σθένος
σιαγόνα	noun	_σιαγών
σιγαλόεντα	adjective	_σιγαλόεις
σιγηλός	adjective	_σιγηλός
σιγματοειδῶς	adjective	_σιγματοειδής
σιγὴ	noun	_σιγή
σιγῇ	verb	_σιγάω
σιγῇ	noun	_σιγή
σιγῇ	verb	_σιγάζω
σιδήρου	verb	_σιδηρόω
σιδήρου	noun	_σίδηρος
σιδήρου	noun	_σίδηρον
σιδίῳ	noun	_σίδιον
σιδηρείη	noun	_σιδηρεία
σιδηρείη	adjective	_σιδήρεος
σιδηρείη	adjective	_σιδήρειος
σιδηροὶ	verb	_σιδηρόω
σιδηροῦ	adjective	_σιδήρεος
σιδηροῦ	verb	_σιδηρόω
σιδηρᾶ	noun	_σιδηρεύς
σιδήρου	verb	_σιδηρόω
σιδήρου	noun	_σίδηρος
σιδήρου	noun	_σίδηρον
σιλλαίνει	verb	_σιλλαίνω
σιτία	noun	_σιτίον
σιτίων	verb	_σιτέομαι
σιτίων	verb	_σιτέω
σιτίων	noun	_σιτίον
σιτοφόρον	adjective	_σιτοφόρος
σιτόσπορον	adjective	_σιτόσπορος
σιωπώμενα	verb	_σιωπάω
σιωπώμενον	verb	_σιωπάω
σιωπὴν	noun	_σιωπή
σιωπῆς	noun	_σιωπή
σιωπῆς	verb	_σιωπάω
σιωπῇ	verb	_σιωπάω
