'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
θῦσαι	lex29125.1_θύω1 lex29126.1_θύω2
θῶ	lex27198.1_θάζω lex27305.1_θέω lex27225.1_θάομαι
θῶας	lex29133.1_θώς
ι	
ϊ	
ϊκέτευον	
ϊστατο	
ϊσχυρον	ἰ̈́ησιν	lex24364.1_εἶμι
ἰ̈ούς	lex116973.1_ἰός2 lex116972.1_ἰός1
ια	
ιαχη	
ιγ	
ιδ	
ιδίαν	
ιδιον	
ιδρῶτι	
ιδών	ιδέ	
ιδῶν	
ιει	
ιεναι	
ιερέως	
ιερείου	
ιερὰ	
ιζ	
ιθ	
ικανὸν	ικασταὶ	
ιλας	
ιν	
ιξ	
ιο	
ιον	
ις	
ισίῃ	
ισχυρα	
ισχυροποιὰ	ισχυρά	
ιόντε	
ιὰν	
ιὼ	
ιῷ	
κ	
κ'	lex98755.1_ἄν1
κ'ακ	
κάββαλεν	lex31861.1_καταβάλλω
κάη	lex29331.1_κάος lex29728.1_καίωκάθηνται	lex29201.1_κάθημαι
κάθηράν	lex29810.1_καθαίρω
κάθηρε	lex29810.1_καθαίρω
κάθηται	lex29802.1_καθίημι
κάθιζον	lex29801.1_καθίζω
κάθοιτ'	lex29802.1_καθίημι
κάκ'	lex29217.1_κάκη
κάκιον	lex34567.1_κηκίω lex30456.1_κακός
κάκιστον	lex30456.1_κακός
κάκιστος	lex30456.1_κακόςΕὔφημον	lex2342.1_Εὔφημος
Εὔφημος	lex2342.1_Εὔφημος
Εὔφορβον	lex2344.1_Εὔφορβος
Εὔφορβος	lex2344.1_Εὔφορβος
Εὔϊνὸν	lex26309.1_εὔινος
Εὕφορβον	
Ζ	
Ζέλειαν	lex2373.1_Ζέλεια
Ζέφυρος	lex2375.1_Ζέφυρος
Ζήθου	lex2464.1_Ζῆθοςκάλαμοι	lex29234.1_κάλαμος
κάλαμος	lex29234.1_κάλαμος
κάλεον	lex30505.1_καλέω
κάλλει	lex29258.1_κάλλος
κάλλεϊ	lex29258.1_κάλλος
κάλλιον	lex29252.1_κάλλιον lex30879.1_καλός
κάλλιστα	lex29254.1_κάλλιστα lex30879.1_καλός
κάλλιστον	lex30879.1_καλός
κάλλος	lex29258.1_κάλλος
κάλλους	lex29258.1_κάλλοςκάλοῖς	lex29277.1_κάλως lex38734.1_κᾶλον
κάλυψε	lex30896.1_καλύπτω
κάλυψεν	lex30896.1_καλύπτω
κάματος	lex29280.1_κάματος
κάμετον	lex29294.1_κάμνω
κάμηλος	lex29283.1_κάμηλος
κάμησι	lex29294.1_κάμνω
κάμνει	lex29294.1_κάμνω
κάμνων	lex29294.1_κάμνω
κάμπτειν	lex29302.1_κάμπτωκάμψειν	lex29302.1_κάμπτω
κάμω	lex29294.1_κάμνω
κάμωσιν	lex29294.1_κάμνω lex29305.1_κάμων
κάπηλος	lex29334.1_κάπηλος
κάπνισάν	lex31111.1_καπνίζω
κάππεσεν	lex32665.1_καταπίπτω
κάπροισιν	lex29350.1_κάπρος
κάπρον	lex29350.1_κάπρος
κάπρος	lex29350.1_κάπρος
κάπτειν	lex29352.1_κάπτωκάρα	lex29400.1_κάρρον lex29356.1_κάρ lex29357.1_κάρα
κάρας	lex29357.1_κάρα
κάρες	
κάρη	lex33945.1_κείρω lex29357.1_κάρα
κάρτερος	
κάρτιστον	lex29406.1_κάρτιστος lex36743.1_κράτιστος
κάρτος	lex29407.1_κάρτος
κάρχαρον	lex29418.1_κάρχαρος
κάτ'	lex29468.1_κάτος lex31485.1_κατά
κάτα	lex29468.1_κάτος lex31485.1_κατάκάτεισι	lex29446.1_κάτειμι
κάτεχεν	lex31832.1_κατέχω
κάτοπτρον	lex29465.1_κάτοπτρον
κάτω	lex29468.1_κάτος lex29475.1_κάτω lex33793.1_κατόω
κάτῳ	lex29468.1_κάτος
κέ	lex98755.1_ἄν1
κέαρ	lex38744.1_κῆρ
κέαρι	lex38744.1_κῆρ
κέαται	lex34530.1_κεῖμαι
κέηται	lex29578.1_κέω lex34530.1_κεῖμαικέκληκε	lex30505.1_καλέω
κέκληκεν	lex30505.1_καλέω
κέκλητ	
κέκληται	lex29516.1_κέλομαι lex30505.1_καλέω
κέκλιται	lex35048.1_κλίνω
κέκλυτέ	lex35418.1_κλύω
κέκτηται	lex37460.1_κτέομαι lex37455.1_κτάομαι
κέλεται	lex29516.1_κέλομαι
κέλευε	lex34078.1_κελεύω
κέλευθα	lex29507.1_κέλευθοςκέλευσε	lex34078.1_κελεύω
κέλευσιν	lex29509.1_κέλευσις
κέλευσον	lex34078.1_κελεύω
κέν	lex98755.1_ἄν1
κέντρα	lex29527.1_κέντρον
κέντρου	lex29527.1_κέντρον lex34194.1_κεντρόω
κέντρων	lex29528.1_κέντρων lex29527.1_κέντρον lex34194.1_κεντρόω
κέραα	lex29537.1_κέρας
κέρας	lex29537.1_κέρας
κέρασιν	lex29537.1_κέραςκέρατα	lex29537.1_κέρας
κέρατος	lex29537.1_κέρας
κέρδεά	lex29542.1_κέρδος
κέρδεα	lex29542.1_κέρδος
κέρδιον	lex34367.1_κερδίων lex34368.1_κερδαίνω
κέρδιστος	lex34367.1_κερδίων
κέρμα	lex29557.1_κέρμα
κέρᾳ	lex29537.1_κέρας
κέχρηνται	lex81333.1_χράω2
κέχρηται	lex81333.1_χράω2κέωνται	lex29578.1_κέω lex34530.1_κεῖμαι
κήδεαι	lex29584.1_κήδω
κήδεται	lex29584.1_κήδω
κήλειν	
κήλεον	lex34573.1_κηλέω lex29590.1_κήλεος
κήλιον	lex34573.1_κηλέω
κήπῳ	lex38743.1_κῆπος
κήρας	lex29604.1_κήρα
κήρεσσι	lex29603.1_κήρ
κήρυκές	lex38745.1_κῆρυξκήρυκας	lex38745.1_κῆρυξ
κήρυκες	lex38745.1_κῆρυξ
κήρυκι	lex38745.1_κῆρυξ
κήρυκος	lex38745.1_κῆρυξ
κήρυξ	
κήρυσσον	lex34718.1_κηρύσσω
κήτεσιν	lex38746.1_κῆτος
κήτους	lex38746.1_κῆτος
κίβδηλος	lex29621.1_κίβδηλος
κίκλησκεν	lex34796.1_κικλήσκωΖελήτας	
Ζελείταις	lex2401.1_Ζελείτης
Ζενοδ	
Ζενοδοτος	
Ζευζίππη	
Ζευς	
Ζεφυρίῳ	lex2412.1_Ζεφύριος lex2411.1_Ζεφύριον
Ζεφυρος	
Ζεφύρου	lex2375.1_Ζέφυρος
Ζεύς	lex2415.1_Ζεύςκίνδυνοι	lex29665.1_κίνδυνος
κίνδυνον	lex29665.1_κίνδυνος
κίνδυνος	lex29665.1_κίνδυνος
κίνημα	lex29668.1_κίνημα
κίνησιν	lex29669.1_κίνησις
κίνησις	lex29669.1_κίνησις
κίον	lex29709.1_κίω lex29578.1_κέω
κα	lex98755.1_ἄν1
καί	lex29711.1_καί
καίεσθαι	lex29728.1_καίωκαίπερ	lex29719.1_καίπερ
καίριον	lex29723.1_καίριος
καίτοι	lex29726.1_καίτοι
καίω	lex29728.1_καίω
καββαίη	lex31869.1_καταβαίνω
καγώ	
καγὼ	
καγῶ	
καδ	
καησομένας	lex29728.1_καίωκαθ	
καθ'	lex31485.1_κατά lex30008.1_καθό lex29768.1_καθά
καθΐκεο	lex29927.1_καθικνέομαι
καθάπερ	lex29768.1_καθά
καθάπτεσθαι	lex29772.1_καθάπτω
καθάπτεται	lex29772.1_καθάπτω
καθάπτετο	lex29772.1_καθάπτω
καθάροι	
καθέδρα	lex29783.1_καθέδρα
καθέδραν	lex29783.1_καθέδρακαθέζεσθ	
καθέζεσθαι	http://data.perseus.org/collections/_κατά-καθέζομαι http://data.perseus.org/collections/_κατά-ἕζομαι
καθέζεται	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζετο	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζοιντο	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζοιτο	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέξεσθαι	lex31832.1_κατέχω
καθέστηκεν	lex29807.1_καθίστημι
καθήγνισται	lex29814.1_καθαγνίζωκαθήλατο	lex29769.1_καθάλλομαι
καθήμενον	lex29201.1_κάθημαι
καθήμενος	lex29201.1_κάθημαι
καθίζουσιν	lex29801.1_καθίζω
καθίσαντες	lex29801.1_καθίζω
καθίστανε	lex29937.1_καθιστάνω
καθίστασθαι	lex29807.1_καθίστημι
καθα	
καθαίρεσιν	lex29809.1_καθαίρεσις
καθαίρω	lex29810.1_καθαίρωκαθαίρων	lex29810.1_καθαίρω
καθαιρουμένους	lex29819.1_καθαιρέω
καθαλλομένη	lex29769.1_καθάλλομαι
καθαπερ	
καθαπτομένη	lex29772.1_καθάπτω
καθαπτόμενος	lex29772.1_καθάπτω
καθαρθεὶς	lex29810.1_καθαίρω
καθαρθῆναι	lex29810.1_καθαίρω
καθαρμων	
καθαρος	καθαροῦ	lex29860.1_καθαρός
καθαρσίων	lex29780.1_καθάρσιος lex29190.1_κάθαρσις
καθαρσίων	lex29780.1_καθάρσιος lex29190.1_κάθαρσις
καθαρτικον	
καθαρὸν	lex29860.1_καθαρός
καθαρὸς	lex29860.1_καθαρός
καθαρῶν	lex29810.1_καθαίρω lex29860.1_καθαρός
καθαρῶς	lex29860.1_καθαρός
καθαρῷ	lex29860.1_καθαρός
καθαυτὸ	καθαυτῶν	
καθαίρεται	lex29810.1_καθαίρω
καθε	
